,,,a21.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.047111,0.045361,0.040744,157217,157375,5511.68
value,453,532,532,532,532,519
weight,423,437,437,437,437,441
numItemsInKnapsack,18,17,17,17,17,18
,,,,,,
,,,a23.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.053165,0.037331,0.042167,625160,569141,5507.78
value,537,590,597,597,597,586
weight,491,494,500,500,500,499
numItemsInKnapsack,19,18,18,18,18,19
,,,,,,
,,,a25.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.053061,0.04668,0.047002,2.16798e+06,1.71996e+06,5504.52
value,616,676,676,676,676,672
weight,581,590,590,590,590,596
numItemsInKnapsack,22,21,21,21,21,22
,,,,,,
,,,a30.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.059938,0.055448,0.04784,3.96902e+07,3.84843e+07,5500.35
value,2195,2563,2563,2563,2563,2563
weight,866,896,896,896,896,896
numItemsInKnapsack,26,26,26,26,26,26
,,,,,,
,,,b21.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.043444,0.05095,0.050878,170433,171254,5500.19
value,123,136,136,137,137,132
weight,423,439,439,450,450,450
numItemsInKnapsack,18,17,17,18,18,18
,,,,,,
,,,b23.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.045865,0.054272,0.059927,677593,597073,5516.2
value,140,145,145,145,145,139
weight,490,500,500,500,500,499
numItemsInKnapsack,20,20,20,20,20,20
,,,,,,
,,,b25.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.050572,0.059493,0.055785,2.30889e+06,1.79444e+06,5500.19
value,149,165,165,165,165,158
weight,598,577,577,590,590,599
numItemsInKnapsack,23,22,22,22,22,23
,,,,,,
,,,b30.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.053183,0.06476,0.062159,4.26921e+07,4.00038e+07,5505.84
value,277,289,289,289,289,281
weight,891,890,889,890,890,900
numItemsInKnapsack,27,26,26,26,26,27
,,,,,,
,,,c21.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.040226,0.043813,0.040465,153215,156468,5556.15
value,202,250,250,250,250,247
weight,423,439,447,439,439,444
numItemsInKnapsack,18,17,18,17,17,18
,,,,,,
,,,c23.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.041967,0.053386,0.049324,623091,567773,5518.09
value,319,384,384,384,384,369
weight,490,497,497,497,497,499
numItemsInKnapsack,20,19,19,19,19,20
,,,,,,
,,,c25.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.044087,0.054885,0.051025,2.16642e+06,1.72228e+06,5500.17
value,396,422,422,422,422,412
weight,598,591,591,591,591,600
numItemsInKnapsack,23,22,22,22,22,23
,,,,,,
,,,c30.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.048066,0.061188,0.070476,4.0505e+07,3.9181e+07,5514.44
value,553,587,584,587,587,582
weight,891,885,861,885,885,900
numItemsInKnapsack,27,26,26,26,26,27
,,,,,,
,,,d21.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.053699,0.037761,0.036754,163916,159269,5509.25
value,196,223,226,226,226,224
weight,423,438,445,449,449,449
numItemsInKnapsack,18,17,18,18,18,18
,,,,,,
,,,d23.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.058205,0.056285,0.049738,661223,586260,5514.9
value,263,285,287,287,287,276
weight,475,493,495,495,495,492
numItemsInKnapsack,19,18,19,19,19,19
,,,,,,
,,,d25.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.057835,0.058255,0.050193,2.25786e+06,1.77313e+06,5500.21
