File, Approach, Runtime, Value, Weight, Number of Items in Knapsack
a21.kp, Greedy By Weight, 0.047111, 453, 423, 18
a21.kp, Greedy By Value, 0.045361, 532, 437, 17
a21.kp, Greedy By Ratio, 0.040744, 532, 437, 17
a21.kp, Exhaustive Search, 157217, 532, 437, 17
a21.kp, Pruned Exhaustive Search, 157375, 532, 437, 17
a21.kp, Optimized Greedy by Weight, 5511.68, 519, 441, 18
a23.kp, Greedy By Weight, 0.053165, 537, 491, 19
a23.kp, Greedy By Value, 0.037331, 590, 494, 18
a23.kp, Greedy By Ratio, 0.042167, 597, 500, 18
a23.kp, Exhaustive Search, 625160, 597, 500, 18
a23.kp, Pruned Exhaustive Search, 569141, 597, 500, 18
a23.kp, Optimized Greedy by Weight, 5507.78, 586, 499, 19
a25.kp, Greedy By Weight, 0.053061, 616, 581, 22
a25.kp, Greedy By Value, 0.04668, 676, 590, 21
a25.kp, Greedy By Ratio, 0.047002, 676, 590, 21
a25.kp, Exhaustive Search, 2.16798e+06, 676, 590, 21
a25.kp, Pruned Exhaustive Search, 1.71996e+06, 676, 590, 21
a25.kp, Optimized Greedy by Weight, 5504.52, 672, 596, 22
a30.kp, Greedy By Weight, 0.059938, 2195, 866, 26
a30.kp, Greedy By Value, 0.055448, 2563, 896, 26
a30.kp, Greedy By Ratio, 0.04784, 2563, 896, 26
a30.kp, Exhaustive Search, 3.96902e+07, 2563, 896, 26
a30.kp, Pruned Exhaustive Search, 3.84843e+07, 2563, 896, 26
a30.kp, Optimized Greedy by Weight, 5500.35, 2563, 896, 26
b21.kp, Greedy By Weight, 0.043444, 123, 423, 18
b21.kp, Greedy By Value, 0.05095, 136, 439, 17
b21.kp, Greedy By Ratio, 0.050878, 136, 439, 17
b21.kp, Exhaustive Search, 170433, 137, 450, 18
b21.kp, Pruned Exhaustive Search, 171254, 137, 450, 18
b21.kp, Optimized Greedy by Weight, 5500.19, 132, 450, 18
b23.kp, Greedy By Weight, 0.045865, 140, 490, 20
b23.kp, Greedy By Value, 0.054272, 145, 500, 20
b23.kp, Greedy By Ratio, 0.059927, 145, 500, 20
b23.kp, Exhaustive Search, 677593, 145, 500, 20
b23.kp, Pruned Exhaustive Search, 597073, 145, 500, 20
b23.kp, Optimized Greedy by Weight, 5516.2, 139, 499, 20
b25.kp, Greedy By Weight, 0.050572, 149, 598, 23
b25.kp, Greedy By Value, 0.059493, 165, 577, 22
